,regdate,trevenue,tcount,shipfee,lrevenue,lcount,lshipfee,NBR,NPBR,OBR,PBR,nrevenue,nshipfee,NBRp,NPBRp,OBRp,PBRp,regdate_week,regdate_month
53,2024-04-23,5941323,50,15000.0,310900.0,4.0,0.0,0.029813759803796337,0.04581491795042111,0.8134617513561386,0.11090957088964395,5630423.0,15000.0,167416.87251871344,257270.14400190755,4567931.8281855425,622804.1552938371,2024-04-22,2024-04-01
52,2024-04-22,12721355,128,42000.0,92000.0,2.0,3000.0,0.006569588693271334,0.452062652002998,0.4970937791578078,0.044273980145922875,12629355.0,39000.0,82713.4538522722,5691629.270959206,6258587.147888401,557425.1273001208,2024-04-22,2024-04-01
51,2024-04-21,9521701,121,18000.0,361660.0,4.0,0.0,0.014953590463881738,0.9495423133204448,0.0,0.0355040962156735,9160041.0,18000.0,136706.33711801586,8680754.759610353,0.0,324579.903271632,2024-04-15,2024-04-01
50,2024-04-20,10222384,135,48000.0,302900.0,4.0,3000.0,0.0,0.9937112577484503,0.00628874225154969,0.0,9919484.0,45000.0,0.0,9812385.915256947,62098.08474305139,0.0,2024-04-15,2024-04-01
49,2024-04-19,14093821,181,54000.0,0.0,0.0,0.0,0.0002765486725663717,0.9864698561946903,0.004348727876106195,0.008904867256637168,14093821.0,54000.0,3882.693860619469,13849860.202869194,61055.36095824115,125022.7423119469,2024-04-15,2024-04-01
48,2024-04-18,32759202,396,75000.0,207470.0,3.0,0.0,0.0008973677213507046,0.9756622996785188,0.011402915085446327,0.0120374175146842,32551732.0,75000.0,29143.57099175751,31686323.02916294,370329.4172487974,390935.9825965048,2024-04-15,2024-04-01
47,2024-04-17,26871304,354,72000.0,282734.0,5.0,6000.0,0.005013782313938762,0.9500968486925426,0.0445168740222007,0.0003724949713178872,26588570.0,66000.0,132978.3923862028,25199010.176227372,1180701.9074349995,9879.523951426656,2024-04-15,2024-04-01
46,2024-04-16,1550643,23,30000.0,350438.0,5.0,0.0,0.0,0.8112925959704834,0.0,0.18870740402951663,1200205.0,30000.0,0.0,949378.6522676395,0.0,220826.3477323605,2024-04-15,2024-04-01
45,2024-04-15,2595413,30,18000.0,418800.0,4.0,3000.0,0.001796380293708178,0.8575021332015987,0.0,0.14070148650469305,2176613.0,15000.0,3883.078995823416,1853587.7586563074,0.0,304142.1623478691,2024-04-15,2024-04-01
44,2024-04-14,8214949,74,15000.0,183615.0,2.0,0.0,0.015170394744801054,0.9806680296633237,0.0,0.004161575591875249,8031334.0,15000.0,121610.95118617002,7861362.46890311,0.0,33360.57991071969,2024-04-08,2024-04-01
43,2024-04-13,4924906,50,18000.0,155555.0,2.0,0.0,0.0,0.918440646502149,0.0,0.08155935349785105,4769351.0,18000.0,0.0,4363833.884198632,0.0,387517.1158013681,2024-04-08,2024-04-01
42,2024-04-12,4838847,47,9000.0,390000.0,5.0,3000.0,0.0,0.9523020297466583,0.0,0.04769797025334166,4448847.0,6000.0,0.0,4230932.215953852,0.0,211914.78404614824,2024-04-08,2024-04-01
